os,dtime,ip,local,gaid,adsid,reqid,up_price,correct_price,pkg_name,bid_id,bid_imp_id
0,2023-08-14 03:58:53,177.154.23.229,BR,53f47338-2471-435d-b9ba-a9b0bfdb8647,106815995,fa301e5d-6f34-4121-8552-56081d6c4955,4.9056,4.9056,com.magiclab.quiz,4782694404142987384,8
0,2023-08-14 10:59:40,181.189.119.168,BR,85bf361f-04f5-4607-a620-d3bf48afd2e8,106815995,fa2eecef-5408-4245-ad92-0f682369c3b4,7.0584,7.0584,com.bslaosaeswe.app,4782721508608847418,2
0,2023-08-14 10:59:44,181.189.119.168,BR,85bf361f-04f5-4607-a620-d3bf48afd2e8,106815995,fa2eecef-5408-4245-ad92-0f682369c3b4,7.1848,7.1848,xxx.fzmkxlihmg.qbrm,4782721508608847418,3
0,2023-08-14 10:59:35,181.189.119.168,BR,85bf361f-04f5-4607-a620-d3bf48afd2e8,106815995,fa2eecef-5408-4245-ad92-0f682369c3b4,6.8704,6.8704,com.bunnyclubslots,4782721508608847418,7
0,2023-08-14 07:00:36,45.186.157.213,BR,a699a60c-778b-40ea-967d-04fde3fd458c,106815995,fa2a3fc1-65bc-47f4-aa26-fd848ed2ebac,1.4688,1.4688,com.magiclab.quiz,4782706093967045088,4
0,2023-08-14 15:51:01,167.249.109.48,BR,db12f02e-8f85-4990-8ba0-02611d2ef256,106815995,fa26a0a4-dbb1-475b-9fbb-63c27991846f,0.724,0.724,com.nuhixe.awesomeexpcircle,4782740257216941351,2
0,2023-08-14 11:17:16,177.124.149.118,BR,cb06c9c2-b416-42c0-b3c6-50121b64df40,106815995,fa1addab-f573-42d3-a611-2fb5af7ba133,0.9112,0.9112,com.magiclab.bubble,4782722670397541023,4
0,2023-08-14 23:46:25,168.196.21.50,BR,b11c9797-4d42-4a66-bf7a-564d05c9b661,106815995,fa169415-879d-4d93-9038-50c42b69938c,1.2248,1.2248,lucky.bubble2048.fungame,4782770902879289930,2
0,2023-08-14 23:46:19,168.196.21.50,BR,b11c9797-4d42-4a66-bf7a-564d05c9b661,106815995,fa169415-879d-4d93-9038-50c42b69938c,1.2232,1.2232,com.space.domain.board,4782770902879289930,3
0,2023-08-14 12:13:53,45.182.234.149,BR,6ca22fb5-fd95-4412-883b-e7f73eee5b25,106815995,fa0ec3e7-e0ff-49cd-b870-f1fbb9f32a4f,2.9104,2.9104,com.srfweue.sgfhue.fore,4782726322195535159,3
0,2023-08-14 12:13:53,45.182.234.149,BR,6ca22fb5-fd95-4412-883b-e7f73eee5b25,106815995,fa0ec3e7-e0ff-49cd-b870-f1fbb9f32a4f,2.188,2.188,com.magiclab.quiz,4782726322195535159,6
0,2023-08-14 12:13:55,45.182.234.149,BR,6ca22fb5-fd95-4412-883b-e7f73eee5b25,106815995,fa0ec3e7-e0ff-49cd-b870-f1fbb9f32a4f,4.388,4.388,com.fu493f.ah3u5,4782726322195535159,2
0,2023-08-14 13:30:55,201.33.72.49,BR,fd8f765b-65c9-4241-b6d7-f84164a26cb8,106815995,f9ffb597-b83a-45f8-b203-ad58a72aeb61,1.3856,1.3856,com.vegas.keno.find.easy,4782731250668493452,1
0,2023-08-14 13:30:41,201.33.72.49,BR,fd8f765b-65c9-4241-b6d7-f84164a26cb8,106815995,f9ffb597-b83a-45f8-b203-ad58a72aeb61,1.0928,1.0928,com.ksdf23.falsdk,4782731250668493452,5
0,2023-08-14 13:30:49,201.33.72.49,BR,fd8f765b-65c9-4241-b6d7-f84164a26cb8,106815995,f9ffb597-b83a-45f8-b203-ad58a72aeb61,1.2408,1.2408,com.skipads.oitube.official,4782731250668493452,4
0,2023-08-14 19:52:12,177.15.86.109,BR,f8300e8c-d7bf-4b90-8369-010eff455eae,106815995,f9fbb6da-28cd-45e6-bc5c-3e3a8312e5d9,0.6976,0.6976,com.block.juggle,4782755549447987012,1
0,2023-08-14 09:41:55,200.115.105.215,BR,984d5152-b4a1-480e-bab4-aa8adb6ef63e,106815995,f9f703d2-969a-48b8-836b-143e5ea8b872,1.0784,1.0784,powerful.slots.game,4782716469537427589,1
0,2023-08-14 09:41:43,200.115.105.215,BR,984d5152-b4a1-480e-bab4-aa8adb6ef63e,106815995,f9f703d2-969a-48b8-836b-143e5ea8b872,0.5664,0.5664,com.erriuys.oiuer,4782716469537427589,3
0,2023-08-14 09:41:48,200.115.105.215,BR,984d5152-b4a1-480e-bab4-aa8adb6ef63e,106815995,f9f703d2-969a-48b8-836b-143e5ea8b872,0.5992,0.5992,com.magiclab.quiz,4782716469537427589,2
0,2023-08-14 02:37:27,186.216.157.40,BR,d92558c0-f69f-4117-b529-95528ddd7562,106815995,f9f31f83-8443-4446-882d-8c970e8cac34,1.1112,1.1112,com.vegas.keno.find.easy,4782689139583653525,1
